"title","description","test_type","priority","status","preconditions","step_1_action","step_1_expected","step_2_action","step_2_expected","step_3_action","step_3_expected","step_4_action","step_4_expected","step_5_action","step_5_expected","tags","suite_name"
"Submit complete Request to Join form successfully - ANDROID","Validate submit complete request to join form successfully","functional_android","high","ready","User has opened Request to Join form; All form fields are filled with valid data:; - First Name: 'John'; - Last Name: 'Doe'; - WhatsApp: '+6281234567890'; - Gender: 'Male'; - Age Group: '25-34'","Fill in First Name: 'John'","Step completes as expected","Fill in Last Name: 'Doe'","Step completes as expected","Enter WhatsApp Number: '+6281234567890'","Step completes as expected","Select Gender: 'Male'","Step completes as expected","Select Age Group: '25-34'","Step completes as expected","social-club, form-submission, positive-flow,android","Request to Join Form"
"Submit complete Request to Join form successfully - IOS","Validate submit complete request to join form successfully","functional_ios","high","ready","User has opened Request to Join form; All form fields are filled with valid data:; - First Name: 'John'; - Last Name: 'Doe'; - WhatsApp: '+6281234567890'; - Gender: 'Male'; - Age Group: '25-34'","Fill in First Name: 'John'","Step completes as expected","Fill in Last Name: 'Doe'","Step completes as expected","Enter WhatsApp Number: '+6281234567890'","Step completes as expected","Select Gender: 'Male'","Step completes as expected","Select Age Group: '25-34'","Step completes as expected","social-club, form-submission, positive-flow,ios","Request to Join Form"
"Verify OTP flow triggered when user changes phone number - ANDROID","Validate otp flow triggered when user changes phone number","functional_android","high","ready","User has existing registered phone number: '+6281234567890'; User opens Request to Join form","Change WhatsApp Number to new number: '+6289876543210'","Step completes as expected","Complete other required fields","Step completes as expected","Tap submit button","Step completes as expected","Observe system response","OTP verification flow opens:
- System detects phone number change
- OTP sent to new phone number
- User prompted to enter OTP code
- Form submission proceeds after OTP verification","","","social-club, otp, phone-verification,android","Request to Join Form"
"Verify OTP flow triggered when user changes phone number - IOS","Validate otp flow triggered when user changes phone number","functional_ios","high","ready","User has existing registered phone number: '+6281234567890'; User opens Request to Join form","Change WhatsApp Number to new number: '+6289876543210'","Step completes as expected","Complete other required fields","Step completes as expected","Tap submit button","Step completes as expected","Observe system response","OTP verification flow opens:
- System detects phone number change
- OTP sent to new phone number
- User prompted to enter OTP code
- Form submission proceeds after OTP verification","","","social-club, otp, phone-verification,ios","Request to Join Form"
"Verify submit button disabled with incomplete form - ANDROID","Validate submit button disabled with incomplete form","functional_android","high","ready","User has opened Request to Join form","Leave First Name field empty","Step completes as expected","Fill Last Name: 'Doe'","Step completes as expected","Fill WhatsApp Number: '+6281234567890'","Step completes as expected","Select Gender: 'Male'","Step completes as expected","Leave Age Group unselected","Step completes as expected","social-club, form-validation, negative,android","Request to Join Form"
"Verify submit button disabled with incomplete form - IOS","Validate submit button disabled with incomplete form","functional_ios","high","ready","User has opened Request to Join form","Leave First Name field empty","Step completes as expected","Fill Last Name: 'Doe'","Step completes as expected","Fill WhatsApp Number: '+6281234567890'","Step completes as expected","Select Gender: 'Male'","Step completes as expected","Leave Age Group unselected","Step completes as expected","social-club, form-validation, negative,ios","Request to Join Form"
"Verify error message for duplicate phone number - ANDROID","Validate error message for duplicate phone number","functional_android","high","ready","Phone number '+6281234567890' already registered in system; User opens Request to Join form","Fill First Name: 'Jane'","Step completes as expected","Fill Last Name: 'Smith'","Step completes as expected","Enter WhatsApp Number: '+6281234567890' (duplicate)","Step completes as expected","Select Gender: 'Female'","Step completes as expected","Select Age Group: '25-34'","Step completes as expected","social-club, error-handling, duplicate-validation,android","Request to Join Form"
"Verify error message for duplicate phone number - IOS","Validate error message for duplicate phone number","functional_ios","high","ready","Phone number '+6281234567890' already registered in system; User opens Request to Join form","Fill First Name: 'Jane'","Step completes as expected","Fill Last Name: 'Smith'","Step completes as expected","Enter WhatsApp Number: '+6281234567890' (duplicate)","Step completes as expected","Select Gender: 'Female'","Step completes as expected","Select Age Group: '25-34'","Step completes as expected","social-club, error-handling, duplicate-validation,ios","Request to Join Form"
"Verify network error handling on form submission - ANDROID","Validate network error handling on form submission","functional_android","medium","ready","User has filled complete Request to Join form; Network connection is simulated to fail","Fill all form fields with valid data","Step completes as expected","Disable network connection or simulate API failure","Step completes as expected","Tap submit button","Step completes as expected","Observe error handling","Error toast displayed:
- Message shows: 'Unable to submit. Try again.'
- Form data remains intact
- User can retry submission
- Loading state ends","","","social-club, error-handling, network-failure,android","Request to Join Form"
"Verify network error handling on form submission - IOS","Validate network error handling on form submission","functional_ios","medium","ready","User has filled complete Request to Join form; Network connection is simulated to fail","Fill all form fields with valid data","Step completes as expected","Disable network connection or simulate API failure","Step completes as expected","Tap submit button","Step completes as expected","Observe error handling","Error toast displayed:
- Message shows: 'Unable to submit. Try again.'
- Form data remains intact
- User can retry submission
- Loading state ends","","","social-club, error-handling, network-failure,ios","Request to Join Form"
"Verify Welcome Modal displays after membership approval - ANDROID","Validate welcome modal displays after membership approval","functional_android","high","ready","User membership request was pending; Admin approves membership from CMS; User membershipStatus = Approved; User hasSeenWelcomeModal = false","Admin approves user membership in CMS","Step completes as expected","User opens RoaminRabbit Android app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe modal display","Welcome Modal displays with:
- 'Welcome to the Club' message
- Profile picture upload section (optional)
- Gray silhouette avatar placeholder (tappable)
- 'Explore' button
- 'Invite Friends' button
hasSeenWelcomeModal flag set to true","","","social-club, welcome-modal, membership-approval,android","Membership Approval Welcome"
"Verify Welcome Modal displays after membership approval - IOS","Validate welcome modal displays after membership approval","functional_ios","high","ready","User membership request was pending; Admin approves membership from CMS; User membershipStatus = Approved; User hasSeenWelcomeModal = false","Admin approves user membership in CMS","Step completes as expected","User opens RoaminRabbit iOS app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe modal display","Welcome Modal displays with:
- 'Welcome to the Club' message
- Profile picture upload section (optional)
- Gray silhouette avatar placeholder (tappable)
- 'Explore' button
- 'Invite Friends' button
hasSeenWelcomeModal flag set to true","","","social-club, welcome-modal, membership-approval,ios","Membership Approval Welcome"
"Verify Welcome Modal not shown again after first view - ANDROID","Validate welcome modal not shown again after first view","functional_android","high","ready","User membershipStatus = Approved; User hasSeenWelcomeModal = true","Open RoaminRabbit Android app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Check for Welcome Modal","Welcome Modal does NOT display
User directly sees Social Club Home screen","","","","","social-club, welcome-modal, state-management,android","Membership Approval Welcome"
"Verify Welcome Modal not shown again after first view - IOS","Validate welcome modal not shown again after first view","functional_ios","high","ready","User membershipStatus = Approved; User hasSeenWelcomeModal = true","Open RoaminRabbit iOS app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Check for Welcome Modal","Welcome Modal does NOT display
User directly sees Social Club Home screen","","","","","social-club, welcome-modal, state-management,ios","Membership Approval Welcome"
"Upload profile picture from Welcome Modal - ANDROID","Validate upload profile picture from welcome modal","functional_android","medium","ready","User sees Welcome Modal after approval; User has valid image file (JPEG/PNG, <5MB)","Tap on profile picture placeholder","Step completes as expected","Select 'Camera' or 'Gallery' from native image picker","Step completes as expected","Choose image file (1.2MB JPEG)","Step completes as expected","Confirm image selection","Step completes as expected","Observe upload process","Profile picture upload successful:
- Native image picker opens
- Image selected and cropped to square
- Image uploads successfully
- Profile placeholder replaced with uploaded image
- User can proceed with modal buttons","social-club, profile-picture, image-upload,android","Membership Approval Welcome"
"Upload profile picture from Welcome Modal - IOS","Validate upload profile picture from welcome modal","functional_ios","medium","ready","User sees Welcome Modal after approval; User has valid image file (JPEG/PNG, <5MB)","Tap on profile picture placeholder","Step completes as expected","Select 'Camera' or 'Gallery' from native image picker","Step completes as expected","Choose image file (1.2MB JPEG)","Step completes as expected","Confirm image selection","Step completes as expected","Observe upload process","Profile picture upload successful:
- Native image picker opens
- Image selected and cropped to square
- Image uploads successfully
- Profile placeholder replaced with uploaded image
- User can proceed with modal buttons","social-club, profile-picture, image-upload,ios","Membership Approval Welcome"
"Verify profile picture upload validation for oversized file - ANDROID","Validate profile picture upload validation for oversized file","functional_android","medium","ready","User sees Welcome Modal; User has image file >5MB","Tap on profile picture placeholder","Step completes as expected","Select image from gallery","Step completes as expected","Choose image file (6MB JPEG)","Step completes as expected","Attempt to upload","Upload validation error:
- Error message displays: 'Upload failed, try again.'
- File size validation triggers
- User can retry with different image
- Profile placeholder remains unchanged","","","social-club, profile-picture, validation, negative,android","Membership Approval Welcome"
"Verify profile picture upload validation for oversized file - IOS","Validate profile picture upload validation for oversized file","functional_ios","medium","ready","User sees Welcome Modal; User has image file >5MB","Tap on profile picture placeholder","Step completes as expected","Select image from gallery","Step completes as expected","Choose image file (6MB JPEG)","Step completes as expected","Attempt to upload","Upload validation error:
- Error message displays: 'Upload failed, try again.'
- File size validation triggers
- User can retry with different image
- Profile placeholder remains unchanged","","","social-club, profile-picture, validation, negative,ios","Membership Approval Welcome"
"Navigate to Social Club Home via Explore button - ANDROID","Validate navigate to social club home via explore button","functional_android","high","ready","User sees Welcome Modal after approval","View Welcome Modal","Step completes as expected","Tap 'Explore' button","Step completes as expected","Observe navigation","User navigated to:
- Featured Events screen OR Social Club Home
- Modal closes
- User can view events and member features","","","","","social-club, navigation, welcome-modal,android","Membership Approval Welcome"
"Navigate to Social Club Home via Explore button - IOS","Validate navigate to social club home via explore button","functional_ios","high","ready","User sees Welcome Modal after approval","View Welcome Modal","Step completes as expected","Tap 'Explore' button","Step completes as expected","Observe navigation","User navigated to:
- Featured Events screen OR Social Club Home
- Modal closes
- User can view events and member features","","","","","social-club, navigation, welcome-modal,ios","Membership Approval Welcome"
"Share Social Club invite via Invite Friends button - ANDROID","Validate share social club invite via invite friends button","functional_android","medium","ready","User sees Welcome Modal after approval","View Welcome Modal","Step completes as expected","Tap 'Invite Friends' button","Step completes as expected","Observe share options","Native OS share sheet opens with:
- Share message: 'Join me in the RoaminRabbit Social Club!'
- Image attached
- Share options: WhatsApp, Messages, Instagram, etc.
- User can select platform and send invitation","","","","","social-club, sharing, invite-friends,android","Membership Approval Welcome"
"Share Social Club invite via Invite Friends button - IOS","Validate share social club invite via invite friends button","functional_ios","medium","ready","User sees Welcome Modal after approval","View Welcome Modal","Step completes as expected","Tap 'Invite Friends' button","Step completes as expected","Observe share options","Native OS share sheet opens with:
- Share message: 'Join me in the RoaminRabbit Social Club!'
- Image attached
- Share options: WhatsApp, Messages, Instagram, etc.
- User can select platform and send invitation","","","","","social-club, sharing, invite-friends,ios","Membership Approval Welcome"
"Verify pending user sees correct state on Social Club page - ANDROID","Validate pending user sees correct state on social club page","functional_android","high","ready","User membershipStatus = Pending; User hasSeenWelcomeModal = any value","User with pending membership opens app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe displayed content","Welcome Modal does NOT display
User redirected to introduction page with:
- 'Your Request is Pending' banner
- No access to member-only features
- No Welcome Modal shown","","","","","social-club, pending-state, access-control,android","Membership Approval Welcome"
"Verify pending user sees correct state on Social Club page - IOS","Validate pending user sees correct state on social club page","functional_ios","high","ready","User membershipStatus = Pending; User hasSeenWelcomeModal = any value","User with pending membership opens app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe displayed content","Welcome Modal does NOT display
User redirected to introduction page with:
- 'Your Request is Pending' banner
- No access to member-only features
- No Welcome Modal shown","","","","","social-club, pending-state, access-control,ios","Membership Approval Welcome"
"Verify Social Club Home displays for approved members - ANDROID","Validate social club home displays for approved members","functional_android","high","ready","User membershipStatus = Approved; User has seen Welcome Modal (hasSeenWelcomeModal = true)","Open RoaminRabbit Android app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe home screen content","Social Club Home displays with:
- Member Banner Card showing: 'Member Since' tag with year, circular profile photo (editable via pencil icon), member name, 'View My Tickets' button
- Featured Events carousel (horizontal scroll)
- Events sorted by earliest event date
- Events hidden 1 day before event date","","","","","social-club, home-screen, member-view,android","Social Club Home"
"Verify Social Club Home displays for approved members - IOS","Validate social club home displays for approved members","functional_ios","high","ready","User membershipStatus = Approved; User has seen Welcome Modal (hasSeenWelcomeModal = true)","Open RoaminRabbit iOS app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe home screen content","Social Club Home displays with:
- Member Banner Card showing: 'Member Since' tag with year, circular profile photo (editable via pencil icon), member name, 'View My Tickets' button
- Featured Events carousel (horizontal scroll)
- Events sorted by earliest event date
- Events hidden 1 day before event date","","","","","social-club, home-screen, member-view,ios","Social Club Home"
"Verify Member Since tag displays correct year - ANDROID","Validate member since tag displays correct year","functional_android","medium","ready","User approved as member on January 15, 2024; User memberSinceYear = 2024 (from backend)","Navigate to Social Club Home","Step completes as expected","Check Member Banner Card","Step completes as expected","Verify 'Member Since' tag value","'Member Since' tag displays: '2024'
Year pulled correctly from memberSinceYear field in backend","","","","","social-club, member-data, display-validation,android","Social Club Home"
"Verify Member Since tag displays correct year - IOS","Validate member since tag displays correct year","functional_ios","medium","ready","User approved as member on January 15, 2024; User memberSinceYear = 2024 (from backend)","Navigate to Social Club Home","Step completes as expected","Check Member Banner Card","Step completes as expected","Verify 'Member Since' tag value","'Member Since' tag displays: '2024'
Year pulled correctly from memberSinceYear field in backend","","","","","social-club, member-data, display-validation,ios","Social Club Home"
"Edit profile photo from Member Banner Card - ANDROID","Validate edit profile photo from member banner card","functional_android","medium","ready","User is on Social Club Home; User has existing profile photo","View Member Banner Card","Step completes as expected","Tap pencil icon on profile photo","Step completes as expected","Select 'Gallery' from image picker","Step completes as expected","Choose new image (2MB JPEG)","Step completes as expected","Confirm selection","Profile photo update successful:
- Native gallery/camera picker opens
- New image selected and uploaded
- Profile photo updated in Member Banner Card
- Updated photo reflects across all app sections","social-club, profile-photo, edit-profile,android","Social Club Home"
"Edit profile photo from Member Banner Card - IOS","Validate edit profile photo from member banner card","functional_ios","medium","ready","User is on Social Club Home; User has existing profile photo","View Member Banner Card","Step completes as expected","Tap pencil icon on profile photo","Step completes as expected","Select 'Gallery' from image picker","Step completes as expected","Choose new image (2MB JPEG)","Step completes as expected","Confirm selection","Profile photo update successful:
- Native gallery/camera picker opens
- New image selected and uploaded
- Profile photo updated in Member Banner Card
- Updated photo reflects across all app sections","social-club, profile-photo, edit-profile,ios","Social Club Home"
"Navigate to My Tickets screen from Member Banner - ANDROID","Validate navigate to my tickets screen from member banner","functional_android","high","ready","User is on Social Club Home; User has registered for at least 1 event","View Member Banner Card","Step completes as expected","Tap 'View My Tickets' button","Step completes as expected","Observe navigation","User navigated to Tickets screen showing:
- Upcoming event tickets
- Past event tickets
- Ticket details for each registered event","","","","","social-club, navigation, my-tickets,android","Social Club Home"
"Navigate to My Tickets screen from Member Banner - IOS","Validate navigate to my tickets screen from member banner","functional_ios","high","ready","User is on Social Club Home; User has registered for at least 1 event","View Member Banner Card","Step completes as expected","Tap 'View My Tickets' button","Step completes as expected","Observe navigation","User navigated to Tickets screen showing:
- Upcoming event tickets
- Past event tickets
- Ticket details for each registered event","","","","","social-club, navigation, my-tickets,ios","Social Club Home"
"Verify Featured Events carousel displays correctly - ANDROID","Validate featured events carousel displays correctly","functional_android","high","ready","Multiple events exist in Event Management CMS; User is on Social Club Home; Events are published and not hidden","View Featured Events section","Step completes as expected","Observe event cards in carousel","Step completes as expected","Swipe left to scroll through events","Step completes as expected","Check event sorting order","Featured Events carousel displays:
- Horizontal scrollable list of event cards
- Each card shows event date and location
- Events sorted by earliest event date (ascending)
- Events hidden starting 1 day before event date
- Tapping event card opens Event Details page","","","social-club, events-carousel, ui-validation,android","Social Club Home"
"Verify Featured Events carousel displays correctly - IOS","Validate featured events carousel displays correctly","functional_ios","high","ready","Multiple events exist in Event Management CMS; User is on Social Club Home; Events are published and not hidden","View Featured Events section","Step completes as expected","Observe event cards in carousel","Step completes as expected","Swipe left to scroll through events","Step completes as expected","Check event sorting order","Featured Events carousel displays:
- Horizontal scrollable list of event cards
- Each card shows event date and location
- Events sorted by earliest event date (ascending)
- Events hidden starting 1 day before event date
- Tapping event card opens Event Details page","","","social-club, events-carousel, ui-validation,ios","Social Club Home"
"Verify events hidden 1 day before event date - ANDROID","Validate events hidden 1 day before event date","functional_android","high","ready","Event scheduled for December 25, 2024; Current date is December 24, 2024 (1 day before event); User is on Social Club Home","Navigate to Social Club Home on December 24, 2024","Step completes as expected","View Featured Events carousel","Step completes as expected","Search for event scheduled on December 25, 2024","Event dated December 25, 2024 is NOT visible in carousel
Event hidden from frontend to prevent additional registrations
Other future events still visible","","","","","social-club, event-hiding, business-logic,android","Social Club Home"
"Verify events hidden 1 day before event date - IOS","Validate events hidden 1 day before event date","functional_ios","high","ready","Event scheduled for December 25, 2024; Current date is December 24, 2024 (1 day before event); User is on Social Club Home","Navigate to Social Club Home on December 24, 2024","Step completes as expected","View Featured Events carousel","Step completes as expected","Search for event scheduled on December 25, 2024","Event dated December 25, 2024 is NOT visible in carousel
Event hidden from frontend to prevent additional registrations
Other future events still visible","","","","","social-club, event-hiding, business-logic,ios","Social Club Home"
"Verify No Events Available state displays correctly - ANDROID","Validate no events available state displays correctly","functional_android","medium","ready","No published events in Event Management CMS; User is on Social Club Home","Navigate to Social Club Home","Step completes as expected","View Featured Events section","Step completes as expected","Observe empty state","No Events Available state displays:
- Stylized empty state box shown
- Placeholder is not clickable
- No interaction possible
- Clear message indicating no events currently available","","","","","social-club, empty-state, ui-validation,android","Social Club Home"
"Verify No Events Available state displays correctly - IOS","Validate no events available state displays correctly","functional_ios","medium","ready","No published events in Event Management CMS; User is on Social Club Home","Navigate to Social Club Home","Step completes as expected","View Featured Events section","Step completes as expected","Observe empty state","No Events Available state displays:
- Stylized empty state box shown
- Placeholder is not clickable
- No interaction possible
- Clear message indicating no events currently available","","","","","social-club, empty-state, ui-validation,ios","Social Club Home"
"Verify Event Details page displays complete event information - ANDROID","Validate event details page displays complete event information","functional_android","high","ready","Event exists in CMS with complete data:; - Event Name: 'Jakarta Networking Night'; - Date: 'Saturday, 28 December 2024'; - Location: 'Jakarta, Indonesia'; - Time: '18:00 - 21:00'; - Max capacity: 50; - Current registrations: 35; - Multiple event images; User is logged in as approved member","Navigate to Social Club Home","Step completes as expected","Tap on event card in carousel","Step completes as expected","Observe Event Details page content","Event Details page displays:
- Event Hero Carousel with swipe-enabled images and indicators
- Event Title: 'Jakarta Networking Night'
- Event Metadata Badges: 'Saturday, 28 December 2024', 'Jakarta, Indonesia', '18:00 - 21:00'
- Registration Status: '35 Registrations', profile circles of 6 most recent registrants
- 'Spots Left' badge NOT shown (more than 10 spots available)
- About Section with event description (truncated with 'View more information' expand)
- 'Register' button visible at bottom","","","","","event-details, ui-validation, event-info,android","Event Details & Registration"
"Verify Event Details page displays complete event information - IOS","Validate event details page displays complete event information","functional_ios","high","ready","Event exists in CMS with complete data:; - Event Name: 'Jakarta Networking Night'; - Date: 'Saturday, 28 December 2024'; - Location: 'Jakarta, Indonesia'; - Time: '18:00 - 21:00'; - Max capacity: 50; - Current registrations: 35; - Multiple event images; User is logged in as approved member","Navigate to Social Club Home","Step completes as expected","Tap on event card in carousel","Step completes as expected","Observe Event Details page content","Event Details page displays:
- Event Hero Carousel with swipe-enabled images and indicators
- Event Title: 'Jakarta Networking Night'
- Event Metadata Badges: 'Saturday, 28 December 2024', 'Jakarta, Indonesia', '18:00 - 21:00'
- Registration Status: '35 Registrations', profile circles of 6 most recent registrants
- 'Spots Left' badge NOT shown (more than 10 spots available)
- About Section with event description (truncated with 'View more information' expand)
- 'Register' button visible at bottom","","","","","event-details, ui-validation, event-info,ios","Event Details & Registration"
"Verify 'Spots Left' badge displays when 10 or fewer spots remain - ANDROID","Validate 'spots left' badge displays when 10 or fewer spots remain","functional_android","high","ready","Event max capacity: 50; Current registrations: 42; Spots remaining: 8; User views Event Details","Navigate to Event Details for nearly-full event","Step completes as expected","Check Registration Status section","Step completes as expected","Verify 'Spots Left' badge","'Spots Left' badge displays showing: '8 Spots Left'
Badge shown because remaining spots ≤ 10
Badge counts down dynamically as users register","","","","","event-details, capacity-tracking, spots-badge,android","Event Details & Registration"
"Verify 'Spots Left' badge displays when 10 or fewer spots remain - IOS","Validate 'spots left' badge displays when 10 or fewer spots remain","functional_ios","high","ready","Event max capacity: 50; Current registrations: 42; Spots remaining: 8; User views Event Details","Navigate to Event Details for nearly-full event","Step completes as expected","Check Registration Status section","Step completes as expected","Verify 'Spots Left' badge","'Spots Left' badge displays showing: '8 Spots Left'
Badge shown because remaining spots ≤ 10
Badge counts down dynamically as users register","","","","","event-details, capacity-tracking, spots-badge,ios","Event Details & Registration"
"Expand full event description from truncated preview - ANDROID","Validate expand full event description from truncated preview","functional_android","medium","ready","Event has long description (>180 characters); Description is truncated in preview; User views Event Details page","View Event Details page","Step completes as expected","Locate About Section with truncated description","Step completes as expected","Tap 'View more information' link","Step completes as expected","Observe description expansion","Full event description expands:
- Complete description text displayed
- No truncation
- User can read entire description
- May include collapse option to return to preview","","","event-details, description-expansion, ui-behavior,android","Event Details & Registration"
"Expand full event description from truncated preview - IOS","Validate expand full event description from truncated preview","functional_ios","medium","ready","Event has long description (>180 characters); Description is truncated in preview; User views Event Details page","View Event Details page","Step completes as expected","Locate About Section with truncated description","Step completes as expected","Tap 'View more information' link","Step completes as expected","Observe description expansion","Full event description expands:
- Complete description text displayed
- No truncation
- User can read entire description
- May include collapse option to return to preview","","","event-details, description-expansion, ui-behavior,ios","Event Details & Registration"
"Register button only visible for logged-in members - ANDROID","Validate register button only visible for logged-in members","functional_android","high","ready","User membershipStatus = Approved; Event has available spots; User views Event Details","Log in as approved member","Step completes as expected","Navigate to Event Details page","Step completes as expected","Check for Register button visibility","'Register' button is visible at bottom of Event Details page
Button is enabled and tappable
Non-members or pending members do not see this button","","","","","event-registration, access-control, member-validation,android","Event Details & Registration"
"Register button only visible for logged-in members - IOS","Validate register button only visible for logged-in members","functional_ios","high","ready","User membershipStatus = Approved; Event has available spots; User views Event Details","Log in as approved member","Step completes as expected","Navigate to Event Details page","Step completes as expected","Check for Register button visibility","'Register' button is visible at bottom of Event Details page
Button is enabled and tappable
Non-members or pending members do not see this button","","","","","event-registration, access-control, member-validation,ios","Event Details & Registration"
