title,description,test_type,priority,status,preconditions,step_1_action,step_1_expected,step_2_action,step_2_expected,step_3_action,step_3_expected,step_4_action,step_4_expected,step_5_action,step_5_expected,tags,suite_name
"Verify Edit action opens section content editor","Test that clicking Edit button navigates to correct section editor","functional_web","high","ready","Multiple sections exist in table","Click Edit action for a specific section","Click is registered","Observe navigation","System opens content editor for the selected section","Verify content loaded","Correct section content is loaded","","","","","section,edit,cms","Section Management"
"Verify Delete action removes section permanently","Validate that Delete action removes section from CMS and frontend","functional_web","high","ready","At least one test section exists","Click Delete action for a section","Delete button is clicked","Confirm deletion","Confirmation dialog appears","Check sections table","Section is removed from CMS table","Check frontend","Section no longer appears on frontend website","","","section,delete,cms","Section Management"
"Verify sections table default sort by last updated","Test that sections table loads sorted by Last Updated in descending order","functional_web","low","ready","Multiple sections exist with different update times","Load sections table","Table loads successfully","Observe default ordering","Table is sorted by Last Updated in descending order","Verify most recent first","Most recent update appears first","","","","","section,sorting,cms","Section Management"
"Verify unlimited sections can be added","Validate that system allows adding unlimited number of sections without cap","functional_web","medium","ready","User has already added multiple sections","Add 10+ sections of various types","Sections are added successfully","Verify no limit is enforced","System allows adding unlimited sections","Check for errors","No maximum limit error appears","","","","","section,limit,cms","Section Management"
"Verify section type list displays all 5 types","Test that Add New Section dialog shows all available section types","functional_web","medium","ready","Add New Section dialog is open","Observe section type list","List is visible","Verify all types displayed","All 5 section types display correctly: Vertical Tabs, Carousel 1, Carousel 2, Accordions, Table","","","","","","","section,dialog,types,cms","Section Management"
"Verify only one section can be selected at a time","Validate that radio button allows only single section type selection","functional_web","medium","ready","Dialog displays all section types","Select first section type","First type is selected","Attempt to select second type","Selecting second deselects first","Observe behavior","Radio button behavior is correct; only one selected","","","","","section,dialog,selection,cms","Section Management"
"Verify Add button is enabled with first section pre-selected","Test that dialog opens with first section pre-selected and Add button active","functional_web","medium","ready","Dialog just opened","Observe initial state of dialog","Dialog is displayed","Check selection","First section type is pre-selected by default","Verify button state","Add button is active/enabled","","","","","section,dialog,default,cms","Section Management"
"Verify Add button creates section and redirects to editor","Validate that Add button creates section and navigates to content editor","functional_web","high","ready","Section type is selected","Click Add button","Button is clicked","Observe result","New section is created","Verify navigation","System redirects to section content editor; Correct section type is loaded","","","","","section,dialog,create,cms","Section Management"
"Verify section type field is read-only and displays correct value","Test that Section Type field shows fixed value and cannot be edited","functional_web","low","ready","User opened editor for Vertical Tabs section","Locate Section Type field","Field is visible","Attempt to edit the field","Field is non-editable/read-only","Verify value","Field displays Vertical Tabs","","","","","vertical-tabs,section-type,cms","Vertical Tabs Content"
"Verify last status shows Draft or Published correctly","Validate that Last Status field updates correctly after save/publish actions","functional_web","medium","ready","Section has been saved at least once","Observe Last Status field","Field is visible","Save as Draft and verify","Status updates correctly to Draft after saving","Publish and verify","Status updates to Published after publishing","","","","","vertical-tabs,status,cms","Vertical Tabs Content"
"Verify emojis can be added in all input fields","Test that emoji characters can be inserted and saved in all text fields","functional_web","medium","ready","Editor is open","Add emoji to Section Title field","Emoji is inserted","Add emoji to Subtitle field","Emoji is inserted","Add emoji to Topic fields","Emoji is inserted","Add emoji to SEO text","Emoji is inserted","Save","Emojis are saved without error; Emojis display correctly","vertical-tabs,emoji,cms","Vertical Tabs Content"
"Verify section title is mandatory and shows error when blank","Validate that empty section title triggers validation error and blocks publishing","functional_web","high","ready","Editor is open","Leave Section Title field empty","Field remains empty","Attempt to publish","Publish button is clicked","Observe validation","Error message appears indicating title is required; Publish action is blocked","","","","","vertical-tabs,validation,title,cms","Vertical Tabs Content"
"Verify section subtitle is optional","Test that section can be published without subtitle and subtitle area doesn't appear if empty","functional_web","medium","ready","Editor is open","Leave Subtitle field empty","Subtitle field is blank","Fill all mandatory fields","Required fields completed","Publish","Section publishes successfully without subtitle","Check frontend","Subtitle area does not appear on frontend if empty","","","vertical-tabs,subtitle,optional,cms","Vertical Tabs Content"
"Verify background color can be customized and has default","Validate that background color selector works with proper default and changes reflect on frontend","functional_web","medium","ready","Editor is open to new section","Observe default background color","First color in list is selected by default","Change background color to different option","Color picker shows new color","Save and check frontend","Color changes reflect on frontend correctly","","","","","vertical-tabs,color,cms","Vertical Tabs Content"
"Verify topic field is mandatory for each tab","Test that empty topic field triggers validation and prevents publishing","functional_web","high","ready","Editor displays vertical tabs","Leave Topic field empty for first tab","Topic field is blank","Attempt to publish","Publish button is clicked","Observe validation","Validation prevents publishing; Error indicates topic is required","","","","","vertical-tabs,validation,topic,cms","Vertical Tabs Content"
"Verify show/hide toggle for vertical tabs","Validate that toggle controls tab visibility on frontend correctly","functional_web","high","ready","Multiple tabs exist","Toggle a tab to Hide","Toggle switches to Hide state","Publish","Content is published","Check frontend","Hidden tabs do not display on frontend","Toggle to Show and verify","Shown tabs display correctly on frontend","","","vertical-tabs,toggle,visibility,cms","Vertical Tabs Content"
"Verify icon image upload with 100x100px PNG requirement","Test that icon upload validates format and dimensions correctly","functional_web","high","ready","Editor is open to tab content","Attempt to upload non-PNG file","Upload dialog opens","Observe validation","Invalid format shows error","Attempt to upload oversized image","Oversized image shows error","Upload valid 100x100px PNG","Valid PNG uploads successfully","Verify on frontend","Image displays correctly on frontend card","vertical-tabs,upload,image,validation,cms","Vertical Tabs Content"
"Verify SEO text is mandatory for visible tabs","Validate that visible tabs require SEO text and validation blocks publishing if missing","functional_web","high","ready","Tab toggle is set to Show","Leave SEO text empty","SEO text field is blank","Attempt to publish","Publish button is clicked","Observe validation","Validation prevents publishing; Error indicates SEO text is required for visible tabs","","","","","vertical-tabs,validation,seo-text,cms","Vertical Tabs Content"
"Verify rich-text editor supports formatting options","Test that all formatting options work correctly in SEO text editor","functional_web","medium","ready","SEO text editor is active","Apply bold formatting","Bold is applied","Apply italic formatting","Italic is applied","Apply underline","Underline is applied","Apply highlight","Highlight is applied","Add bullet points and hyperlink","Bullets and link work","Save and check frontend","All formatting options work correctly; Formatted text displays properly on frontend","vertical-tabs,rich-text,formatting,cms","Vertical Tabs Content"
"Verify background color and vertical tab line color customization","Validate that color pickers work and colors apply properly to frontend styling","functional_web","medium","ready","Editor is open","Select card background color","Color is selected","Select vertical tab line color","Color is selected","Save","Changes are saved","Check frontend styling","Colors apply properly to card and tab line on frontend","","","vertical-tabs,color,customization,cms","Vertical Tabs Content"
"Verify minimum 3 tabs required and first 3 undeletable","Test that validation enforces minimum 3 tabs and prevents deleting first 3","functional_web","high","ready","New section with default 3 tabs","Attempt to delete first tab","Delete option not available","Attempt to delete second tab","Delete option not available","Attempt to delete third tab","Delete option not available","Verify validation","Validation prevents having fewer than 3 tabs","","","vertical-tabs,validation,minimum,cms","Vertical Tabs Content"
"Verify Add New Tab button adds up to 2 more tabs (max 5 total)","Validate that Add New Tab button works correctly and disables at maximum","functional_web","high","ready","Section has 3 tabs currently","Click Add New Tab button","Button is clicked","Verify 4th tab appears","4th tab is added successfully","Click Add New Tab again","5th tab is added successfully","Observe button state","Button becomes disabled after 5th tab","","","vertical-tabs,add-tab,maximum,cms","Vertical Tabs Content"
"Verify Add New Tab button disabled after 5 tabs","Test that Add button is properly disabled when maximum tab count is reached","functional_web","medium","ready","Section already has 5 tabs","Observe Add New Tab button state","Button is visible","Verify disabled state","Button is disabled/grayed out","Check tooltip or message","Tooltip or message indicates maximum reached","","","","","vertical-tabs,add-tab,disabled,cms","Vertical Tabs Content"
"Verify only 4th and 5th tabs can be deleted","Validate that delete functionality is limited to tabs beyond minimum requirement","functional_web","high","ready","Section has 5 tabs total","Check delete button availability for each tab","First 3 tabs have no delete button","Delete 5th tab","5th tab is deleted successfully; Deletion removes tab instantly","Delete 4th tab","4th tab is deleted","Verify cannot delete 3rd tab","3rd tab cannot be deleted","","","vertical-tabs,delete-tab,cms","Vertical Tabs Content"
"Verify maximum 5 tabs validation","Test that system enforces maximum tab limit and prevents exceeding 5 tabs","functional_web","medium","ready","Section has 5 tabs","Verify no option to add 6th tab","Add button is disabled","Attempt workarounds if any","No workaround available","Verify validation","Cannot exceed 5 tabs; Validation enforces limit","","","","","vertical-tabs,validation,maximum,cms","Vertical Tabs Content"
"Verify Save as Draft button saves all content","Validate that Save as Draft preserves all entered content and status updates","functional_web","critical","ready","Editor has content entered","Fill in section content","Content is entered in fields","Click Save as Draft","Button is clicked","Navigate away","User leaves page","Return to section","All progress is saved; Last Status shows Draft; Content persists when returning","","","vertical-tabs,save-draft,cms","Vertical Tabs Content"
"Verify auto-save functionality every X seconds","Test that content auto-saves at specified interval to prevent data loss","functional_web","high","ready","Editor is open with content being entered","Enter content in various fields","Content is being typed","Wait for auto-save interval","Time passes","Observe save indication","Content auto-saves at specified interval; Save indicator appears","Refresh page","No data loss occurs","","","vertical-tabs,auto-save,cms","Vertical Tabs Content"
"Verify Publish Live button publishes content to frontend","Validate that Publish action makes content immediately visible on website","functional_web","critical","ready","All mandatory fields are filled correctly","Click Publish Live button","Button is clicked","Verify Last Status changes","Content publishes successfully; Last Status updates to Published","Check frontend website","Section appears on frontend immediately","","","","","vertical-tabs,publish,cms","Vertical Tabs Content"
"Verify publish validation blocks incomplete content","Test that publish validation enforces all mandatory requirements and shows clear errors","functional_web","high","ready","Section has some required fields empty","Leave mandatory fields blank (title, topic, SEO text)","Fields are empty","Attempt to publish","Publish button is clicked","Observe validation","Validation blocks publishing; Clear error message displays indicating missing fields; Section remains in draft state","","","","","vertical-tabs,validation,publish,cms","Vertical Tabs Content"
"Verify publish requires at least 3 tabs with Show toggle active","Validate that minimum visible tabs validation prevents publishing with fewer than 3 shown","functional_web","high","ready","Section has 3+ tabs but some are hidden","Set only 2 tabs to Show","Only 2 tabs are visible","Attempt to publish","Publish button is clicked","Observe validation","Validation prevents publishing; Error indicates minimum 3 visible tabs required","","","","","vertical-tabs,validation,visible-tabs,cms","Vertical Tabs Content"
"Verify all mandatory fields validation for visible tabs only","Test that validation applies only to visible tabs and ignores hidden tabs","functional_web","high","ready","Section has mix of shown and hidden tabs","Hide one tab (toggle to Hide)","Tab is hidden","Leave its mandatory fields empty","Hidden tab has incomplete data","Ensure visible tabs are complete","Visible tabs have all required fields","Publish","Hidden tabs are not validated; Only shown tabs require complete mandatory fields; Publish succeeds","","","vertical-tabs,validation,visible-only,cms","Vertical Tabs Content"
"Verify section type displays fixed value Carousel 1","Test that Section Type field shows Carousel 1 as read-only value","functional_web","low","ready","User opened editor for Carousel 1 section","Locate Section Type field","Field is visible","Verify value and editability","Field displays Carousel 1; Field is non-editable","","","","","","","carousel-1,section-type,cms","Carousel 1 Content"
"Verify Carousel 1 last status reflects Draft or Published","Validate that Last Status field updates correctly after save/publish for Carousel 1","functional_web","medium","ready","Section has been saved/published","Save as draft and check status","Status correctly updates to Draft","Publish and check status","Status updates to Published after respective actions","","","","","","","carousel-1,status,cms","Carousel 1 Content"
"Verify emoji support in Carousel 1 input fields","Test that emojis can be inserted and saved without error in Carousel 1","functional_web","medium","ready","Editor is open","Add emojis to title","Emoji inserted","Add emojis to subtitle","Emoji inserted","Add emojis to SEO text","Emoji inserted","Save and verify","Emojis can be inserted without error; Emojis save and display correctly","","","carousel-1,emoji,cms","Carousel 1 Content"
"Verify Carousel 1 section title is mandatory","Validate that empty section title triggers validation error for Carousel 1","functional_web","high","ready","Editor is open","Leave section title empty","Title field is blank","Fill other required fields","Other fields completed","Attempt to publish","Validation blocks publishing; Error indicates title is required","","","","","carousel-1,validation,title,cms","Carousel 1 Content"
"Verify Carousel 1 section subtitle is optional","Test that Carousel 1 can be published without subtitle","functional_web","medium","ready","Editor is open","Leave subtitle empty","Subtitle is blank","Complete all mandatory fields","Required fields filled","Publish and check frontend","Publishes successfully without subtitle; Subtitle area does not show on frontend if empty","","","","","carousel-1,subtitle,optional,cms","Carousel 1 Content"
"Verify Carousel 1 card show/hide toggle","Validate that card visibility toggle works correctly for Carousel 1","functional_web","high","ready","Multiple cards exist","Toggle card to Hide","Card is hidden","Publish","Content published","Check frontend","Hidden cards do not appear on frontend","Toggle to Show and verify","Shown cards display correctly","","","carousel-1,toggle,visibility,cms","Carousel 1 Content"
"Verify Carousel 1 image upload with 500x500px PNG requirement","Test that image upload validates format and dimensions for Carousel 1 cards","functional_web","high","ready","Editor is open to card content","Upload non-PNG file","Invalid formats rejected","Upload oversized image","Oversized images rejected","Upload valid 500x500px PNG","Valid PNG uploads successfully","Check frontend","Image displays correctly on frontend","","","carousel-1,upload,image,validation,cms","Carousel 1 Content"
"Verify Carousel 1 card title is mandatory and supports two links","Test that card title validation works and link support functions correctly","functional_web","high","ready","Editor is open to card","Leave title empty and attempt to publish","Empty title blocks publishing","Enter title with title link 1","Title with link 1 saved","Enter title with title link 2","Title with link 2 saved","Save and check frontend","Title with links saves correctly; Links function on frontend","","","carousel-1,validation,title,links,cms","Carousel 1 Content"
"Verify Carousel 1 card subtitle is optional","Test that card subtitle can be left empty in Carousel 1","functional_web","medium","ready","Editor is open","Leave card subtitle empty","Subtitle is blank","Complete mandatory fields","Required fields filled","Publish","Publishes without subtitle; Subtitle area does not show if empty","","","","","carousel-1,subtitle,optional,cms","Carousel 1 Content"
"Verify Carousel 1 SEO text is mandatory for visible cards","Validate that SEO text validation works for visible Carousel 1 cards","functional_web","high","ready","Card toggle is set to Show","Leave SEO text empty","SEO text is blank","Attempt to publish","Publish clicked","Observe validation","Validation prevents publishing; Error indicates SEO text required","","","","","carousel-1,validation,seo-text,cms","Carousel 1 Content"
"Verify Carousel 1 SEO text rich-text editor functionality","Test that all formatting options work in Carousel 1 SEO text editor","functional_web","medium","ready","SEO text editor is active","Test bold, italic, underline, highlight","All basic formatting works","Add bullets and links","Lists and hyperlinks work","Save and verify frontend","All formatting options work; Formatting displays correctly on frontend","","","","","carousel-1,rich-text,formatting,cms","Carousel 1 Content"
"Verify Carousel 1 allows unlimited cards to be added","Validate that system allows adding unlimited number of cards in Carousel 1","functional_web","medium","ready","Section exists with 3 cards","Click Add New Card multiple times (10+)","Cards are added successfully","Verify no limit is enforced","System allows adding unlimited cards; No maximum card error appears","","","","","","","carousel-1,add-card,unlimited,cms","Carousel 1 Content"
"Verify Carousel 1 requires minimum 3 cards","Test that first 3 cards cannot be deleted and minimum is enforced","functional_web","high","ready","New section with 3 cards","Attempt to delete first 3 cards","First 3 cards cannot be deleted; Validation prevents fewer than 3 cards","","","","","","","","","carousel-1,validation,minimum,cms","Carousel 1 Content"
"Verify Carousel 1 delete button only available after 3rd card","Validate that delete functionality is restricted to cards beyond minimum","functional_web","high","ready","Section has 5+ cards","Check delete button for cards 1-3","Cards 1-3 have no delete button","Check delete button for card 4+","Cards 4+ have delete button","Delete card 4","Deletion works instantly","","","","","carousel-1,delete-card,cms","Carousel 1 Content"
"Verify Carousel 1 publish validation for mandatory fields","Test that publish validation enforces all Carousel 1 requirements","functional_web","high","ready","Section has cards with incomplete data","Leave mandatory fields empty on visible cards","Fields are incomplete","Attempt to publish","Publish clicked","Observe validation","Validation blocks publishing; Error lists missing required fields for visible cards","","","","","carousel-1,validation,publish,cms","Carousel 1 Content"
"Verify Carousel 1 requires minimum 3 visible cards for publish","Validate that minimum visible cards validation works for Carousel 1","functional_web","high","ready","Section has cards but some hidden","Set only 2 cards to Show","Only 2 cards visible","Attempt to publish","Publish clicked","Observe validation","Validation prevents publishing; Error indicates minimum 3 visible cards needed","","","","","carousel-1,validation,visible-cards,cms","Carousel 1 Content"
"Verify section type displays fixed value Carousel 2","Test that Section Type field shows Carousel 2 as non-editable value","functional_web","low","ready","User opened editor for Carousel 2 section","Locate Section Type field","Field is visible","Verify value","Field displays Carousel 2; Field is read-only","","","","","","","carousel-2,section-type,cms","Carousel 2 Content"
"Verify Carousel 2 last status shows Draft or Published","Validate that status field updates correctly for Carousel 2","functional_web","medium","ready","Section has been saved","Check status after draft save","Status accurately reflects Draft","Check status after publish","Status reflects Published","","","","","","","carousel-2,status,cms","Carousel 2 Content"
"Verify emoji support in Carousel 2 fields","Test emoji insertion and saving in Carousel 2 fields","functional_web","medium","ready","Editor is open","Add emojis to title and SEO text","Emojis inserted","Save","Emojis insert and save without error","","","","","","","carousel-2,emoji,cms","Carousel 2 Content"
"Verify Carousel 2 section title is mandatory","Validate section title validation for Carousel 2","functional_web","high","ready","Editor is open","Leave section title blank","Title is empty","Attempt to publish","Publish clicked","Observe validation","Validation blocks publish with error message","","","","","carousel-2,validation,title,cms","Carousel 2 Content"
"Verify Carousel 2 section subtitle is optional","Test that subtitle can be omitted in Carousel 2","functional_web","medium","ready","Editor is open","Leave subtitle empty","Subtitle blank","Complete required fields and publish","Required fields filled and published","Verify result","Publishes successfully without subtitle","","","","","carousel-2,subtitle,optional,cms","Carousel 2 Content"
"Verify Carousel 2 card visibility toggle","Validate card show/hide toggle functionality for Carousel 2","functional_web","high","ready","Multiple cards exist","Toggle card to Hide","Card hidden","Publish and check frontend","Hidden cards do not appear on frontend","","","","","","","carousel-2,toggle,visibility,cms","Carousel 2 Content"
"Verify Carousel 2 image upload with 100x100px PNG","Test image validation for Carousel 2 cards","functional_web","high","ready","Card editor is open","Upload invalid format","Invalid uploads rejected","Upload oversized image","Oversized rejected","Upload valid 100x100px PNG","Valid PNG uploads and displays correctly","","","","","carousel-2,upload,image,validation,cms","Carousel 2 Content"
"Verify Carousel 2 card title is mandatory","Validate card title requirement for Carousel 2","functional_web","high","ready","Card is set to Show","Leave title empty","Title blank","Attempt to publish","Publish clicked","Observe validation","Validation prevents publishing with error","","","","","carousel-2,validation,title,cms","Carousel 2 Content"
"Verify Carousel 2 SEO text is mandatory for visible cards","Test SEO text validation for visible Carousel 2 cards","functional_web","high","ready","Card is visible","Leave SEO text empty","Text blank","Try to publish","Publish clicked","Observe validation","Publish blocked with validation error","","","","","carousel-2,validation,seo-text,cms","Carousel 2 Content"
"Verify Carousel 2 rich-text editor functions","Validate that all formatting works in Carousel 2 SEO text","functional_web","medium","ready","SEO text field is active","Apply various formatting","Formatting applied","Save and check frontend","All formatting options work correctly","","","","","","","carousel-2,rich-text,formatting,cms","Carousel 2 Content"
"Verify Carousel 2 allows unlimited cards","Test that unlimited cards can be added to Carousel 2","functional_web","medium","ready","Section has 3 cards","Add 10+ cards","Cards added successfully","Verify no limit","No limit enforced on card count","","","","","","","carousel-2,add-card,unlimited,cms","Carousel 2 Content"
"Verify Carousel 2 requires minimum 3 cards","Validate minimum card requirement for Carousel 2","functional_web","high","ready","New section with 3 cards","Attempt to delete first 3 cards","First 3 cards cannot be deleted","","","","","","","","","carousel-2,validation,minimum,cms","Carousel 2 Content"
"Verify Carousel 2 delete only for cards beyond 3rd","Test delete restriction for Carousel 2 cards","functional_web","high","ready","Section has 5 cards","Check delete availability for all cards","Delete only available for cards 4+","Delete 4th card","Deletion works instantly","","","","","","","carousel-2,delete-card,cms","Carousel 2 Content"
"Verify Carousel 2 publish validation","Validate publish validation for Carousel 2","functional_web","high","ready","Cards have incomplete data","Leave required fields empty on visible cards","Fields incomplete","Try to publish","Publish clicked","Observe validation","Validation blocks with clear error messages","","","","","carousel-2,validation,publish,cms","Carousel 2 Content"
"Verify Carousel 2 requires 3 visible cards for publish","Test minimum visible cards validation for Carousel 2","functional_web","high","ready","Section has cards with some hidden","Show only 2 cards","Only 2 visible","Attempt to publish","Publish clicked","Observe validation","Publish prevented with minimum visible cards error","","","","","carousel-2,validation,visible-cards,cms","Carousel 2 Content"
"Verify Accordions section type displays correctly","Test that Section Type shows Accordions as read-only","functional_web","low","ready","Accordions section editor is open","Check Section Type field","Field visible","Verify value","Displays Accordions as read-only","","","","","","","accordions,section-type,cms","Accordions Content"
"Verify Accordions last status accuracy","Validate status updates for Accordions section","functional_web","medium","ready","Section has been saved/published","Verify status after various actions","Status updates correctly to Draft or Published","","","","","","","","","accordions,status,cms","Accordions Content"
"Verify emoji support in Accordions","Test emoji functionality in Accordions fields","functional_web","medium","ready","Editor is open","Add emojis to fields","Emojis inserted","Save","Emojis work without errors","","","","","","","accordions,emoji,cms","Accordions Content"
"Verify Accordions section title is mandatory","Validate section title requirement for Accordions","functional_web","high","ready","Editor is open","Leave title blank","Title empty","Try to publish","Publish clicked","Observe validation","Validation blocks publish","","","","","accordions,validation,title,cms","Accordions Content"
"Verify Accordions section subtitle is optional","Test that subtitle is optional for Accordions","functional_web","medium","ready","Editor is open","Leave subtitle empty","Subtitle blank","Publish with complete required fields","Required fields filled","Verify result","Publishes successfully","","","","","accordions,subtitle,optional,cms","Accordions Content"
"Verify Accordions show/hide toggle","Validate accordion visibility toggle functionality","functional_web","high","ready","Multiple accordions exist","Toggle accordion to Hide","Accordion hidden","Publish and check frontend","Hidden accordions not shown on frontend","","","","","","","accordions,toggle,visibility,cms","Accordions Content"
"Verify Accordions title is mandatory","Test accordion title validation","functional_web","high","ready","Accordion is visible","Leave accordion title empty","Title blank","Try to publish","Publish clicked","Observe validation","Publish blocked with error","","","","","accordions,validation,title,cms","Accordions Content"
